"","Date","Value"
"549",2019-08-19,10214.52
"550",2019-08-18,10359.44
"551",2019-08-17,10302.17
"552",2019-08-16,10016.96
"553",2019-08-15,10858.12
"554",2019-08-14,11386.26
"555",2019-08-13,11566.84
"556",2019-08-12,11282.22
"557",2019-08-11,11856.64
"558",2019-08-10,11996.41
"559",2019-08-09,11960.82
"560",2019-08-08,11465.67
"561",2019-08-07,11787.99
"562",2019-08-06,10980.23
"563",2019-08-05,10814.57
"564",2019-08-04,10529.55
"565",2019-08-03,10407.17
"566",2019-08-02,10084.7
"567",2019-08-01,9589.13
"568",2019-07-31,9501.33
"569",2019-07-30,9530
"570",2019-07-29,9473.99
"571",2019-07-28,9848.65
"572",2019-07-27,9875.17
"573",2019-07-26,9772.17
"574",2019-07-25,9844.3
"575",2019-07-24,10323.62
"576",2019-07-23,10587.41
"577",2019-07-22,10764.9
"578",2019-07-21,10535.75
"579",2019-07-20,10638.56
"580",2019-07-19,9674.28
"581",2019-07-18,9397.72
"582",2019-07-17,10873.5
"583",2019-07-16,10186.96
"584",2019-07-15,11389.1
"585",2019-07-14,11803.97
"586",2019-07-13,11352.87
"587",2019-07-12,12099.9
"588",2019-07-11,12586.78
"589",2019-07-10,12313.08
"590",2019-07-09,11477.01
"591",2019-07-08,11232.04
"592",2019-07-07,10955.16
"593",2019-07-06,11160.49
"594",2019-07-05,11984.76
"595",2019-07-04,10805.4
"596",2019-07-03,10578.72
"597",2019-07-02,10737.73
"598",2019-07-01,11890.38
"599",2019-06-30,12374.35
"600",2019-06-29,11132.85
"601",2019-06-28,12932.55
"602",2019-06-27,11766.4
"603",2019-06-26,11017.5
"604",2019-06-25,10814.48
"605",2019-06-24,10668.63
"606",2019-06-23,10209.38
"607",2019-06-22,9531.35
"608",2019-06-21,9281.7
"609",2019-06-20,9076.18
"610",2019-06-19,9327.48
"611",2019-06-18,8978.99
"612",2019-06-17,8859.47
"613",2019-06-16,8693.6
"614",2019-06-15,8237.88
"615",2019-06-14,8173.06
"616",2019-06-13,7917.58
"617",2019-06-12,8020.38
"618",2019-06-11,7640.61
"619",2019-06-10,7931.34
"620",2019-06-09,7998.29
"621",2019-06-08,7803.23
"622",2019-06-07,7786.04
"623",2019-06-06,7675.8
"624",2019-06-05,8134.92
"625",2019-06-04,8739.03
"626",2019-06-03,8554.8
"627",2019-06-02,8553.81
"628",2019-06-01,8272.46
"629",2019-05-31,8662.98
"630",2019-05-30,8719.88
"631",2019-05-29,8770.06
"632",2019-05-28,8744.42
"633",2019-05-27,8071.45
"634",2019-05-26,8003.26
"635",2019-05-25,7880.29
"636",2019-05-24,7625.93
"637",2019-05-23,7952.5
"638",2019-05-22,8007.03
"639",2019-05-21,8193.7
"640",2019-05-20,7265.05
"641",2019-05-19,7362.22
"642",2019-05-18,7885.96
"643",2019-05-17,8206.9
"644",2019-05-16,7992.69
"645",2019-05-15,7823.11
"646",2019-05-14,6978.63
"647",2019-05-13,7248.31
"648",2019-05-12,6348.02
"649",2019-05-11,6146.91
"650",2019-05-10,5936.72
"651",2019-05-09,5755.72
"652",2019-05-08,5684.47
"653",2019-05-07,5717.66
"654",2019-05-06,5771.08
"655",2019-05-05,5657.14
"656",2019-05-04,5390.16
"657",2019-05-03,5326.67
"658",2019-05-02,5269.79
"659",2019-05-01,5260.65
"660",2019-04-30,5301.29
"661",2019-04-29,5280.19
"662",2019-04-28,5292.83
"663",2019-04-27,5195.61
"664",2019-04-26,5434.19
"665",2019-04-25,5518.16
"666",2019-04-24,5377.19
"667",2019-04-23,5281.83
"668",2019-04-22,5309.28
"669",2019-04-21,5277.04
"670",2019-04-20,5276.31
"671",2019-04-19,5220.37
"672",2019-04-18,5196.65
"673",2019-04-17,5036.18
"674",2019-04-16,5152.51
"675",2019-04-15,5064.62
"676",2019-04-14,5072.85
"677",2019-04-13,5035.02
"678",2019-04-12,5310.18
"679",2019-04-11,5175.81
"680",2019-04-10,5268.71
"681",2019-04-09,5189.39
"682",2019-04-08,5053.52
"683",2019-04-07,5028.77
"684",2019-04-06,4911.24
"685",2019-04-05,4959.81
"686",2019-04-04,4882.88
"687",2019-04-03,4152.53
"688",2019-04-02,4114.16
"689",2019-04-01,4114.44
"690",2019-03-31,4115.55
"691",2019-03-30,4037.37
"692",2019-03-29,4048.51
"693",2019-03-28,3947.74
"694",2019-03-27,3935.89
"695",2019-03-26,3994.11
"696",2019-03-25,4011.92
"697",2019-03-24,3999.06
"698",2019-03-23,3992.34
"699",2019-03-22,4056.4
