Time,bitfinex,bitflyer,bithumb,bitstamp,btcchina,coinbase,huobi,kraken,okcoin,others
2018-09-21 00:00:00 UTC,36547.59907233,10404.22152904,39691.5176857596,11607.56261617,,13444.7477190999,,12621.30955361,,36096.38275091122
2018-09-22 00:00:00 UTC,18197.73300905,5836.84461295998,33261.0970669801,6573.6196262,,6211.75268553999,,6026.02793097,,28437.48683964926
2018-09-23 00:00:00 UTC,8513.98744629998,2737.14488707,33962.96894471,3943.84617878,,4198.95761935,,2983.17376097,,25497.303289107833
2018-09-24 00:00:00 UTC,17766.50651821,4035.86000255,32053.4169819201,5429.79122518,,6665.29559464,,8091.56589011,,29209.839033499084
2018-09-25 00:00:00 UTC,20238.00132181,9245.95958407994,36742.13480211,10630.33429495,,10690.43770925,,8817.25036142,,33544.424499691006
2018-09-26 00:00:00 UTC,13811.66757362,7442.83983440997,37323.4018030999,6099.56619302,,7050.71511370999,,6570.53816998,,30638.904629316174
2018-09-27 00:00:00 UTC,18368.03319086,8079.58489050997,34606.7024701601,7020.23037037,,9190.06588764996,,8606.58556249999,,31390.83144540836
2018-09-28 00:00:00 UTC,27892.9666557601,9448.75138408993,28248.1608941098,8911.96441532,,10134.04121648,,8966.76547888999,,31606.317803146634
2018-09-29 00:00:00 UTC,17305.62689609,4417.83253559999,29270.4793949799,4109.2472423,,4829.67026048999,,4240.301735,,27266.6769645372
2018-09-30 00:00:00 UTC,8271.37079492998,3684.73612965,29002.76773872,3388.48569787,,4449.13142283,,2930.74839147,,27750.350723766463
2018-10-01 00:00:00 UTC,10312.70311098,5681.23839618999,28905.1195594899,5996.59234560999,,8210.27767489999,,4698.35958137,,32023.58487433131
2018-10-02 00:00:00 UTC,12022.90082542,4420.59918609999,27514.6202048299,5251.87421961,,6231.03391972,,5982.76068932,,30035.391441100004
2018-10-03 00:00:00 UTC,14574.47382217,4682.26879228,26675.9414806599,6283.67666044,,7214.93594479,,10713.52501556,,27412.933116781845
2018-10-04 00:00:00 UTC,11474.39056433,5252.44448303,25508.16315236,4890.9324942,,7063.20482552998,,5129.55644116,,28916.968411132126
2018-10-05 00:00:00 UTC,12447.96376063,3727.14808498,24326.68502643,4825.22796009,,5734.53991407999,,4883.95590274,,27581.85709997371
2018-10-06 00:00:00 UTC,5805.93011072,1945.80570456,23612.14595345,4700.44215622,,3146.78188543,,2062.47573859,,25664.898368813774
2018-10-07 00:00:00 UTC,5815.84752757,1823.66655385,22884.0705526599,6444.00111928006,,2889.972029,,2794.22827362,,25424.14089053339
2018-10-08 00:00:00 UTC,12694.1255273,3088.66284072999,29953.57203097,5488.21486129,,6320.50604899999,,5784.37880073,,23773.363052075103
2018-10-09 00:00:00 UTC,8060.52717010998,3253.70392387,32457.18107056,3071.28901713,,5532.6270828,,4067.85744969,,29836.729475168
2018-10-10 00:00:00 UTC,13824.01744003,5875.01430991997,31422.67272849,6523.02892549,,7519.14787873,,6137.67960781,,31886.452558265755
2018-10-11 00:00:00 UTC,41605.4663391501,10833.4177254201,26045.57102304,12644.03886512,,18638.1545865203,,15593.74309551,,39600.85298277633
2018-10-12 00:00:00 UTC,10393.41574391,4713.78883356999,31799.08340855,4423.13710114,,6515.03197557999,,4730.99445385,,33115.91506047766
2018-10-13 00:00:00 UTC,5817.9505378,1255.10534154,30935.5764902,2280.13054748,,4387.08518927,,2331.27720609,,26942.600178815068
2018-10-14 00:00:00 UTC,11224.41417698,2258.62607173,33156.7061788,3058.49088506,,4255.51529338,,3221.60457099,,26765.755952521216
2018-10-15 00:00:00 UTC,84901.7666636211,13434.64536439,27341.32199652,21667.03439258,,22180.1870912502,,24099.13176558,,55702.19398731544
2018-10-16 00:00:00 UTC,15656.8525102,4860.25791137999,33676.92473014,5874.65267162,,10864.76362757,,6801.86575492,,34969.27264337516
